문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean
진짜 최고야 너무 사랑해	0	0	0	0	0	0	0	0	0	1
야 진짜 고마워 너무 수고했어	0	0	0	0	0	0	0	0	0	1
와 이거 너무 멋있다 진짜	0	0	0	0	0	0	0	0	0	1
진짜 잘했어 너무 최고야	0	0	0	0	0	0	0	0	0	1
개잘하네	0	0	0	0	0	0	0	0	0	1
개잘해	0	0	0	0	0	0	0	0	0	1
실력 좋다	0	0	0	0	0	0	0	0	0	1
프로네	0	0	0	0	0	0	0	0	0	1
캐리 감사	0	0	0	0	0	0	0	0	0	1
빡캐리했다	0	0	0	0	0	0	0	0	0	1
덕분에 이겼어	0	0	0	0	0	0	0	0	0	1
같이 가자	0	0	0	0	0	0	0	0	0	1
우리 팀 최고	0	0	0	0	0	0	0	0	0	1
호흡 좋네	0	0	0	0	0	0	0	0	0	1
개쩌네	0	0	0	0	0	0	0	0	0	1
좋은 플레이	0	0	0	0	0	0	0	0	0	1
센스 좋아	0	0	0	0	0	0	0	0	0	1
판단 좋았어	0	0	0	0	0	0	0	0	0	1
타이밍 완벽	0	0	0	0	0	0	0	0	0	1
역전했다	0	0	0	0	0	0	0	0	0	1
이겼다	0	0	0	0	0	0	0	0	0	1
승리	0	0	0	0	0	0	0	0	0	1
우승	0	0	0	0	0	0	0	0	0	1
1등	0	0	0	0	0	0	0	0	0	1
클리어	0	0	0	0	0	0	0	0	0	1
성공	0	0	0	0	0	0	0	0	0	1
달성	0	0	0	0	0	0	0	0	0	1
완료	0	0	0	0	0	0	0	0	0	1
해냈어	0	0	0	0	0	0	0	0	0	1
됐다	0	0	0	0	0	0	0	0	0	1
좋았어	0	0	0	0	0	0	0	0	0	1
괜찮아	0	0	0	0	0	0	0	0	0	1
잘됐어	0	0	0	0	0	0	0	0	0	1
일로 와	0	0	0	0	0	0	0	0	0	1
저기로 가	0	0	0	0	0	0	0	0	0	1
이쪽으로 와	0	0	0	0	0	0	0	0	0	1
점프해	0	0	0	0	0	0	0	0	0	1
같이 점프	0	0	0	0	0	0	0	0	0	1
하나 둘 셋	0	0	0	0	0	0	0	0	0	1
준비됐어	0	0	0	0	0	0	0	0	0	1
시작하자	0	0	0	0	0	0	0	0	0	1
가자	0	0	0	0	0	0	0	0	0	1
기다려	0	0	0	0	0	0	0	0	0	1
잠깐	0	0	0	0	0	0	0	0	0	1
멈춰	0	0	0	0	0	0	0	0	0	1
뒤에 있어	0	0	0	0	0	0	0	0	0	1
앞으로 가	0	0	0	0	0	0	0	0	0	1
왼쪽으로	0	0	0	0	0	0	0	0	0	1
오른쪽으로	0	0	0	0	0	0	0	0	0	1
위로 올라가	0	0	0	0	0	0	0	0	0	1
아래로 내려가	0	0	0	0	0	0	0	0	0	1
여기서 기다려	0	0	0	0	0	0	0	0	0	1
일로 와봐	0	0	0	0	0	0	0	0	0	1
저기로 가야 해	0	0	0	0	0	0	0	0	0	1
나 따라와	0	0	0	0	0	0	0	0	0	1
여기 좀 봐	0	0	0	0	0	0	0	0	0	1
저거 봐봐	0	0	0	0	0	0	0	0	0	1
이거 뭐야	0	0	0	0	0	0	0	0	0	1
어떻게 해	0	0	0	0	0	0	0	0	0	1
어디로 가	0	0	0	0	0	0	0	0	0	1
저기 있어	0	0	0	0	0	0	0	0	0	1
여기 있어	0	0	0	0	0	0	0	0	0	1
나 여기야	0	0	0	0	0	0	0	0	0	1
어디야 너	0	0	0	0	0	0	0	0	0	1
기다려줘	0	0	0	0	0	0	0	0	0	1
잠깐만	0	0	0	0	0	0	0	0	0	1
조심해	0	0	0	0	0	0	0	0	0	1
위험해	0	0	0	0	0	0	0	0	0	1
도망가	0	0	0	0	0	0	0	0	0	1
숨어	0	0	0	0	0	0	0	0	0	1
야 일로 와 빨리	0	0	0	0	0	0	0	0	0	1
저기로 가야 할 것 같아	0	0	0	0	0	0	0	0	0	1
같이 점프해야 해	0	0	0	0	0	0	0	0	0	1
하나 둘 셋 점프	0	0	0	0	0	0	0	0	0	1
준비됐으면 시작하자	0	0	0	0	0	0	0	0	0	1
여기서 잠깐 기다려	0	0	0	0	0	0	0	0	0	1
왼쪽으로 가야 해	0	0	0	0	0	0	0	0	0	1
오른쪽으로 가면 돼	0	0	0	0	0	0	0	0	0	1
위로 올라가면 있어	0	0	0	0	0	0	0	0	0	1
아래로 내려가자	0	0	0	0	0	0	0	0	0	1
나 따라오면 돼	0	0	0	0	0	0	0	0	0	1
저기 보여 저거	0	0	0	0	0	0	0	0	0	1
어디로 가야 하지	0	0	0	0	0	0	0	0	0	1
빨리 와 여기로	0	0	0	0	0	0	0	0	0	1
조심해 거기 위험해	0	0	0	0	0	0	0	0	0	1
도망가 빨리	0	0	0	0	0	0	0	0	0	1
숨어 거기서	0	0	0	0	0	0	0	0	0	1
기다려 아직 안 됐어	0	0	0	0	0	0	0	0	0	1
같이 가자 혼자 가지 마	0	0	0	0	0	0	0	0	0	1
빨리 와	0	0	0	0	0	0	0	0	0	1
천천히 가	0	0	0	0	0	0	0	0	0	1
조금만 기다려	0	0	0	0	0	0	0	0	0	1
거기 서	0	0	0	0	0	0	0	0	0	1
멈춰봐	0	0	0	0	0	0	0	0	0	1
다시 해봐	0	0	0	0	0	0	0	0	0	1
한 번 더	0	0	0	0	0	0	0	0	0	1
다시 시작	0	0	0	0	0	0	0	0	0	1
리셋	0	0	0	0	0	0	0	0	0	1
재시작	0	0	0	0	0	0	0	0	0	1
로딩 중	0	0	0	0	0	0	0	0	0	1
연결 중	0	0	0	0	0	0	0	0	0	1
대기 중	0	0	0	0	0	0	0	0	0	1
준비 중	0	0	0	0	0	0	0	0	0	1
존나 잘한다	0	0	0	0	0	0	0	0	0	1
와 진짜 잘한다	0	0	0	0	0	0	0	0	0	1
가보자	0	0	0	0	0	0	0	0	0	1
순서대로 가	0	0	0	0	0	0	0	0	0	1
브금꺼봐	0	0	0	0	0	0	0	0	0	1
브금켜봐	0	0	0	0	0	0	0	0	0	1
뭐해	0	0	0	0	0	0	0	0	0	1
들리냐	0	0	0	0	0	0	0	0	0	1
밀지마	0	0	0	0	0	0	0	0	0	1
한명씩 가	0	0	0	0	0	0	0	0	0	1
뭔데	0	0	0	0	0	0	0	0	0	1
일자로 서라고	0	0	0	0	0	0	0	0	0	1
머리밟지마	0	0	0	0	0	0	0	0	0	1
게임이 신박하네	0	0	0	0	0	0	0	0	0	1
이거 재밌는데	0	0	0	0	0	0	0	0	0	1
이거 꿀잼이네	0	0	0	0	0	0	0	0	0	1
억울해	0	0	0	0	0	0	0	0	0	1
이것 좀 해결해줘	0	0	0	0	0	0	0	0	0	1
이거 어떻게 하는거야	0	0	0	0	0	0	0	0	0	1
이거 왜 안돼	0	0	0	0	0	0	0	0	0	1
이거 왜 이래	0	0	0	0	0	0	0	0	0	1
이거 왜 이래 진짜	0	0	0	0	0	0	0	0	0	1
가만히 있어	0	0	0	0	0	0	0	0	0	1
내가 할게	0	0	0	0	0	0	0	0	0	1
미안해	0	0	0	0	0	0	0	0	0	1
이거 하자마자 바로 되던데	0	0	0	0	0	0	0	0	0	1
이거 독버섯이래 모르고 개먹었는데	0	0	0	0	0	0	0	0	0	1
이거 투명블록 떄문에 위로 가야해	0	0	0	0	0	0	0	0	0	1
여기 길이다	0	0	0	0	0	0	0	0	0	1
여기 함정이다	0	0	0	0	0	0	0	0	0	1
이거 함정이다	0	0	0	0	0	0	0	0	0	1
이거 어떻게 나가야되는거야	0	0	0	0	0	0	0	0	0	1
난이도가 높은데	0	0	0	0	0	0	0	0	0	1
가지마	0	0	0	0	0	0	0	0	0	1
뽀뽀 준비해라	0	0	0	0	0	0	0	0	0	1
내가 마지막 할게	0	0	0	0	0	0	0	0	0	1
얼른 가라	0	0	0	0	0	0	0	0	0	1
왼쪽으로 갈 수 있어	0	0	0	0	0	0	0	0	0	1
먼저가 먼저가	0	0	0	0	0	0	0	0	0	1
내가 먼저갈게	0	0	0	0	0	0	0	0	0	1
오 뭐야 위로도 가지네	0	0	0	0	0	0	0	0	0	1
안죽네	0	0	0	0	0	0	0	0	0	1
한방에 안죽나보다	0	0	0	0	0	0	0	0	0	1
가면된다 길이야	0	0	0	0	0	0	0	0	0	1
이거 밟으면 안돼	0	0	0	0	0	0	0	0	0	1
이거 밟으면 죽어	0	0	0	0	0	0	0	0	0	1
한명이 총대 좀 매봐	0	0	0	0	0	0	0	0	0	1
밑에 길 있어	0	0	0	0	0	0	0	0	0	1
머리 밟지마	0	0	0	0	0	0	0	0	0	1
대가리 밟지말라고	0	0	0	0	0	0	0	0	0	1
저주 풀어줘	0	0	0	0	0	0	0	0	0	1
나이스 좋아	0	0	0	0	0	0	0	0	0	1
여기로 가면 안되나	0	0	0	0	0	0	0	0	0	1
길을 생성하지마	0	0	0	0	0	0	0	0	0	1
밀지말아봐	0	0	0	0	0	0	0	0	0	1
피지컬 이슈야	0	0	0	0	0	0	0	0	0	1
저주 스택 왜 올라가는거지	0	0	0	0	0	0	0	0	0	1
이거 맞아	0	0	0	0	0	0	0	0	0	1
뭐야 이거	0	0	0	0	0	0	0	0	0	1
뭔소리야	0	0	0	0	0	0	0	0	0	1
저주가 너무 가혹하다	0	0	0	0	0	0	0	0	0	1
배고프다	0	0	0	0	0	0	0	0	0	1
이거지	0	0	0	0	0	0	0	0	0	1
튕겼어	0	0	0	0	0	0	0	0	0	1
아프다	0	0	0	0	0	0	0	0	0	1
이거 위로 가야돼 말아야돼	0	0	0	0	0	0	0	0	0	1
오른쪽이 아니라 왼쪽으로 가래	0	0	0	0	0	0	0	0	0	1
거기 뭐 없어	0	0	0	0	0	0	0	0	0	1
여기로 와바바	0	0	0	0	0	0	0	0	0	1
지리네	0	0	0	0	0	0	0	0	0	1
존나 쉽다	0	0	0	0	0	0	0	0	0	1
편안하게 하자	0	0	0	0	0	0	0	0	0	1
어려워	0	0	0	0	0	0	0	0	0	1
나와봐	0	0	0	0	0	0	0	0	0	1
엘리베이터가 기다리고 있다고	0	0	0	0	0	0	0	0	0	1
정보 공유 좀 해줘	0	0	0	0	0	0	0	0	0	1
머리 그만 밟아	0	0	0	0	0	0	0	0	0	1
우와 이거 버그다	0	0	0	0	0	0	0	0	0	1
달려라	0	0	0	0	0	0	0	0	0	1
버섯 먹으면 안된다	0	0	0	0	0	0	0	0	0	1
점프 해야해	0	0	0	0	0	0	0	0	0	1
확인했어	0	0	0	0	0	0	0	0	0	1
고맙다 얘들아	0	0	0	0	0	0	0	0	0	1
가시있대	0	0	0	0	0	0	0	0	0	1
점프해봐	0	0	0	0	0	0	0	0	0	1
가볼까 일단	0	0	0	0	0	0	0	0	0	1
보여주나	0	0	0	0	0	0	0	0	0	1
존나 개잘한다	0	0	0	0	0	0	0	0	0	1
어떡해	0	0	0	0	0	0	0	0	0	1
타이밍 잃어버렸어	0	0	0	0	0	0	0	0	0	1
걱정하지마	0	0	0	0	0	0	0	0	0	1
나 갑자기 죽었어	0	0	0	0	0	0	0	0	0	1
내가 못지나가고 있어	0	0	0	0	0	0	0	0	0	1
여기 중간에 가시있어	0	0	0	0	0	0	0	0	0	1
게임에 집중해	0	0	0	0	0	0	0	0	0	1
나 타이밍 잃어버렸어	0	0	0	0	0	0	0	0	0	1
왔어	0	0	0	0	0	0	0	0	0	1
고맙다	0	0	0	0	0	0	0	0	0	1
나는 모르겠는데	0	0	0	0	0	0	0	0	0	1
여기 있는데	0	0	0	0	0	0	0	0	0	1
맨 오른쪽으로 가래	0	0	0	0	0	0	0	0	0	1
좀만 일찍 알려주지	0	0	0	0	0	0	0	0	0	1
하고 있는데	0	0	0	0	0	0	0	0	0	1
그럼 해	0	0	0	0	0	0	0	0	0	1
뭐에 죽은거야 방금	0	0	0	0	0	0	0	0	0	1
모르겠어	0	0	0	0	0	0	0	0	0	1
순서래도 갑시다	0	0	0	0	0	0	0	0	0	1
사랑해 해줘	0	0	0	0	0	0	0	0	0	1
뽀뽀 해줘	0	0	0	0	0	0	0	0	0	1
좋아해 해줘	0	0	0	0	0	0	0	0	0	1
먼저가	0	0	0	0	0	0	0	0	0	1
뭐라적혀있어	0	0	0	0	0	0	0	0	0	1
쉽지 않은데	0	0	0	0	0	0	0	0	0	1
진지하게 하자	0	0	0	0	0	0	0	0	0	1
넘겨	0	0	0	0	0	0	0	0	0	1
오지마봐	0	0	0	0	0	0	0	0	0	1
역시 나야	0	0	0	0	0	0	0	0	0	1
이용하면 좋을지도	0	0	0	0	0	0	0	0	0	1
여기 맵 재밌다	0	0	0	0	0	0	0	0	0	1
이건 개인 피지컬이잖아	0	0	0	0	0	0	0	0	0	1
오지말아봐	0	0	0	0	0	0	0	0	0	1
몰라 난 그냥 갈래	0	0	0	0	0	0	0	0	0	1
나한테 한명만 지원와봐	0	0	0	0	0	0	0	0	0	1
마녀를 만나고 와야한대	0	0	0	0	0	0	0	0	0	1
빨리와봐	0	0	0	0	0	0	0	0	0	1
보면 알아	0	0	0	0	0	0	0	0	0	1
열쇠 가져와	0	0	0	0	0	0	0	0	0	1
저주 좀	0	0	0	0	0	0	0	0	0	1
여기 올라가는 발판이 있어	0	0	0	0	0	0	0	0	0	1
헤쳐모여	0	0	0	0	0	0	0	0	0	1
진짜 깼어	0	0	0	0	0	0	0	0	0	1
이거 진짜 되지 맞지	0	0	0	0	0	0	0	0	0	1
열쇠 먹었어	0	0	0	0	0	0	0	0	0	1
다시 올라가	0	0	0	0	0	0	0	0	0	1
쉽잖아	0	0	0	0	0	0	0	0	0	1
개웃기네	0	0	0	0	0	0	0	0	0	1
이메일로 받기 누르래	0	0	0	0	0	0	0	0	0	1
씨발	0	0	0	0	0	0	0	0	1	0
씨벌	0	0	0	0	0	0	0	0	1	0
시벌	0	0	0	0	0	0	0	0	1	0
다시는 보지 말자	0	0	0	0	0	0	0	0	1	0
근들갑이야	0	0	0	0	0	0	0	0	1	0
싫어 니가 뭔데	0	0	0	0	0	0	0	0	1	0
장난같냐	0	0	0	0	0	0	0	0	1	0
좆되는데	0	0	0	0	0	0	0	0	1	0
시발	0	0	0	0	0	0	0	0	1	0
병신	0	0	0	0	0	0	0	0	1	0
게임 좆같이 만들었네	0	0	0	0	0	0	0	0	1	0
꺼져	0	0	0	0	0	0	0	0	1	0
닥쳐	0	0	0	0	0	0	0	0	1	0
지랄지랄하도만 니가 더 못하네	0	0	0	0	0	0	0	0	1	0
니가 이거보다 더 심했다니까	0	0	0	0	0	0	0	0	1	0
못하는게 티가 나	0	0	0	0	0	0	0	0	1	0
억까하지마	0	0	0	0	0	0	0	0	1	0
짜증나	0	0	0	0	0	0	0	0	1	0
씹년	0	0	0	0	0	0	0	0	1	0
게임 주제에	0	0	0	0	0	0	0	0	1	0
화나게 만드네	0	0	0	0	0	0	0	0	1	0
말이 안되네	0	0	0	0	0	0	0	0	1	0
손가락에 쥐났냐	0	0	0	0	0	0	0	0	1	0
얼굴 좀 치워봐	0	0	0	0	0	0	0	0	1	0
손에 쥐났냐	0	0	0	0	0	0	0	0	1	0
죽어라 그냥	0	0	0	0	0	0	0	0	1	0
판정이 좆같네	0	0	0	0	0	0	0	0	1	0
나 아닌데 개소리야	0	0	0	0	0	0	0	0	1	0
존나 킹받네	0	0	0	0	0	0	0	0	1	0
개답답하네	0	0	0	0	0	0	0	0	1	0
살 좀 빼봐	0	0	0	0	0	0	0	0	1	0
사람새끼야	0	0	0	0	0	0	0	0	1	0
평소에 좀 잘하지 그랬어	0	0	0	0	0	0	0	0	1	0
너무 아쉽다	0	0	0	0	0	0	0	0	1	0
손에 하자 있다 진짜로	0	0	0	0	0	0	0	0	1	0
재지 말라고	0	0	0	0	0	0	0	0	1	0
지가 뭔 프로게이머인줄 알아	0	0	0	0	0	0	0	0	1	0
존나 에겐남이야	0	0	0	0	0	0	0	0	1	0
미친년아	0	0	0	0	0	0	0	0	1	0
미친 것 같아	0	0	0	0	0	0	0	0	1	0
수준이 맞아야 하지	0	0	0	0	0	0	0	0	1	0
영원히 못깨겠다	0	0	0	0	0	0	0	0	1	0
섭섭해	0	0	0	0	0	0	0	0	1	0
좆됐다	0	0	0	0	0	0	0	0	1	0
이지랄	0	0	0	0	0	0	0	0	1	0
이새끼들아	0	0	0	0	0	0	0	0	1	0
정신안차려	0	0	0	0	0	0	0	0	1	0
왜밟아 씨발	0	0	0	0	0	0	0	0	1	0
아이씨	0	0	0	0	0	0	0	0	1	0
너무한다	0	0	0	0	0	0	0	0	1	0
좀 가라 제발	0	0	0	0	0	0	0	0	1	0
그만해	0	0	0	0	0	0	0	0	1	0
개빡치네	0	0	0	0	0	0	0	0	1	0
아가리	0	0	0	0	0	0	0	0	1	0
미친새끼	0	0	0	0	0	0	0	0	1	0
버섯좀 그만먹어 배고프냐 병신아	0	0	0	0	0	0	0	0	1	0
개새끼야	0	0	0	0	0	0	0	0	1	0
대가리 존나 크네	0	0	0	0	0	0	0	0	1	0
사주 받았네 씨발	0	0	0	0	0	0	0	0	1	0
적당히 좀 해라	0	0	0	0	0	0	0	0	1	0
손가락 문제 있나	0	0	0	0	0	0	0	0	1	0
뒤지기 싫으면	0	0	0	0	0	0	0	0	1	0
존나 아쉽다 너	0	0	0	0	0	0	0	0	1	0
너 진짜 죽는다	0	0	0	0	0	0	0	0	1	0
손에 하자 있나	0	0	0	0	0	0	0	0	1	0
지랄	0	0	0	0	0	0	0	0	1	0
손에 살쪘나	0	0	0	0	0	0	0	0	1	0
나안해	0	0	0	0	0	0	0	0	1	0
못해	0	0	0	0	0	0	0	0	1	0
화가나는구만	0	0	0	0	0	0	0	0	1	0
니 왜이렇게 못해	0	0	0	0	0	0	0	0	1	0
나 안할래	0	0	0	0	0	0	0	0	1	0
씹새끼야	0	0	0	0	0	0	0	0	1	0
십새끼야	0	0	0	0	0	0	0	0	1	0
병신새끼야	0	0	0	0	0	0	0	0	1	0
좆같네	0	0	0	0	0	0	0	0	1	0
이양반아	0	0	0	0	0	0	0	0	1	0
반응이 웰케 느려	0	0	0	0	0	0	0	0	1	0
아쉽다 얘들아	0	0	0	0	0	0	0	0	1	0
조작감 구리긴해	0	0	0	0	0	0	0	0	1	0
존나 화나네	0	0	0	0	0	0	0	0	1	0
열받네	0	0	0	0	0	0	0	0	1	0
미친놈아	0	0	0	0	0	0	0	0	1	0
난데 씨발아	0	0	0	0	0	0	0	0	1	0
바보	0	0	0	0	0	0	0	0	1	0
개못하네	0	0	0	0	0	0	0	0	1	0
오늘 좀 아쉬운데	0	0	0	0	0	0	0	0	1	0
잘가라	0	0	0	0	0	0	0	0	1	0
멀리 안나간다	0	0	0	0	0	0	0	0	1	0
빡대가리	0	0	0	0	0	0	0	0	1	0
멍청아	0	0	0	0	0	0	0	0	1	0
오늘 존나 빡치는데	0	0	0	0	0	0	0	0	1	0
빡겜하자	0	0	0	0	0	0	0	0	1	0
하지마	0	0	0	0	0	0	0	0	1	0
야 씨발	0	0	0	0	0	0	0	0	1	0
아 존나 짜증나	0	0	0	0	0	0	0	0	1	0
진짜 개못하네	0	0	0	0	0	0	0	0	1	0
뭐하냐 진짜	0	0	0	0	0	0	0	0	1	0
하 존나 답답하네	0	0	0	0	0	0	0	0	1	0
야 꺼져봐	0	0	0	0	0	0	0	0	1	0
뭐야 이게	0	0	0	0	0	0	0	0	1	0
진짜 킹받네	0	0	0	0	0	0	0	0	1	0
개같이 못하네	0	0	0	0	0	0	0	0	1	0
좆병신아	0	0	0	0	0	0	0	0	1	0
욕 존나 나오네	0	0	0	0	0	0	0	0	1	0
그만해 좀	0	0	0	0	0	0	0	0	1	0
하지마 진짜	0	0	0	0	0	0	0	0	1	0
왜 그래러는거야 병신아	0	0	0	0	0	0	0	0	1	0
야 씨발 뭐하냐	0	0	0	0	0	0	0	0	1	0
아 진짜 짜증나	0	0	0	0	0	0	0	0	1	0
진짜 못하네 왜 이래	0	0	0	0	0	0	0	0	1	0
아 개짜증나 진짜	0	0	0	0	0	0	0	0	1	0
야 뭐하냐 진짜 씨발	0	0	0	0	0	0	0	0	1	0
하 답답해 진짜 못해	0	0	0	0	0	0	0	0	1	0
진짜 열받네 아 씨발	0	0	0	0	0	0	0	0	1	0
왜 이래 진짜 못하네	0	0	0	0	0	0	0	0	1	0
야 그만해 진짜 짜증나	0	0	0	0	0	0	0	0	1	0
야 꺼져 좀 진짜	0	0	0	0	0	0	0	0	1	0
하 답답하다 왜 이래	0	0	0	0	0	0	0	0	1	0
진짜 싫어 아 그만해	0	0	0	0	0	0	0	0	1	0
야 닥쳐 진짜 짜증나	0	0	0	0	0	0	0	0	1	0
뭐하냐 씨발 진짜	0	0	0	0	0	0	0	0	1	0
아 열받아 왜 그래	0	0	0	0	0	0	0	0	1	0
진짜 못해 아 짜증	0	0	0	0	0	0	0	0	1	0
야 씨발 왜 이래 진짜 못하네	0	0	0	0	0	0	0	0	1	0
아 진짜 짜증나 왜 이러냐	0	0	0	0	0	0	0	0	1	0
진짜 못하네 왜 이래 아 답답해	0	0	0	0	0	0	0	0	1	0
야 뭐하냐 진짜 씨발 개짜증나	0	0	0	0	0	0	0	0	1	0
하 답답해 진짜 못해 왜 이래	0	0	0	0	0	0	0	0	1	0
야 그만해 진짜 짜증나 아 씨발	0	0	0	0	0	0	0	0	1	0
야 꺼져 좀 진짜 짜증나	0	0	0	0	0	0	0	0	1	0
하 답답하다 진짜 왜 이래	0	0	0	0	0	0	0	0	1	0
야 씨발 진짜 열받아 왜 그래	0	0	0	0	0	0	0	0	1	0
뭐하냐 씨발 진짜 못하네	0	0	0	0	0	0	0	0	1	0
존나 못해	0	0	0	0	0	0	0	0	1	0
트롤이냐	0	0	0	0	0	0	0	0	1	0
던지냐	0	0	0	0	0	0	0	0	1	0
제대로 해	0	0	0	0	0	0	0	0	1	0
똑바로 해	0	0	0	0	0	0	0	0	1	0
대가리 박아라	0	0	0	0	0	0	0	0	1	0
정신 차려라	0	0	0	0	0	0	0	0	1	0
머리 박아라	0	0	0	0	0	0	0	0	1	0
실력 무슨일이냐	0	0	0	0	0	0	0	0	1	0
너 뭐하냐	0	0	0	0	0	0	0	0	1	0
제대로 좀 해봐	0	0	0	0	0	0	0	0	1	0
똑바로 좀 해	0	0	0	0	0	0	0	0	1	0
집중 좀 해	0	0	0	0	0	0	0	0	1	0
정신 좀 차려	0	0	0	0	0	0	0	0	1	0
뭐하는 거냐 진짜	0	0	0	0	0	0	0	0	1	0
실력이 그게 뭐야	0	0	0	0	0	0	0	0	1	0
완전 트롤이네	0	0	0	0	0	0	0	0	1	0
좆되긴 한다 이거	0	0	0	0	0	0	0	0	1	0
던지는 거 맞지	0	0	0	0	0	0	0	0	1	0
제대로 좀 해라	0	0	0	0	0	0	0	0	1	0
똑바로 좀 해라	0	0	0	0	0	0	0	0	1	0
포기하자	0	0	0	0	0	0	0	0	1	0
그만하자	0	0	0	0	0	0	0	0	1	0
나가자	0	0	0	0	0	0	0	0	1	0
이미 졌어	0	0	0	0	0	0	0	0	1	0
망했어	0	0	0	0	0	0	0	0	1	0
끝났어	0	0	0	0	0	0	0	0	1	0
안되겠다	0	0	0	0	0	0	0	0	1	0
희망 없어	0	0	0	0	0	0	0	0	1	0
소용없어	0	0	0	0	0	0	0	0	1	0
이길 수 없어	0	0	0	0	0	0	0	0	1	0
승산 없어	0	0	0	0	0	0	0	0	1	0
뭘 해도 안 돼	0	0	0	0	0	0	0	0	1	0
너 때문이야	0	0	0	0	0	0	0	0	1	0
니가 다 망쳤어	0	0	0	0	0	0	0	0	1	0
혼자 다 하네	0	0	0	0	0	0	0	0	1	0
불안불안하다	0	0	0	0	0	0	0	0	1	0
말을 왜 안들어	0	0	0	0	0	0	0	0	1	0
나만 하네	0	0	0	0	0	0	0	0	1	0
발목 잡지마	0	0	0	0	0	0	0	0	1	0
너만 없었으면	0	0	0	0	0	0	0	0	1	0
니가 뭘 했어	0	0	0	0	0	0	0	0	1	0
진짜 못하네 너	0	0	0	0	0	0	0	0	1	0
야 너 때문에 졌어	0	0	0	0	0	0	0	0	1	0
왜 이렇게 못하냐	0	0	0	0	0	0	0	0	1	0
나만 열심히 하네	0	0	0	0	0	0	0	0	1	0
니가 뭘 했는데	0	0	0	0	0	0	0	0	1	0
눈 뜨고 하는거 맞냐	0	0	0	0	0	0	0	0	1	0
님 덕분에 배우고 갑니다	0	0	0	0	0	0	0	0	1	0
그래 니가 잘났어	0	0	0	0	0	0	0	0	1	0
에이스인 척	0	0	0	0	0	0	0	0	1	0
혼자 하시나 봐요	0	0	0	0	0	0	0	0	1	0
맵 좀 보고 하세요	0	0	0	0	0	0	0	0	1	0
모니터 켜져 있어요	0	0	0	0	0	0	0	0	1	0
키보드 있어요	0	0	0	0	0	0	0	0	1	0
마우스 있어요	0	0	0	0	0	0	0	0	1	0
손으로 하는거 맞죠	0	0	0	0	0	0	0	0	1	0
발로 하시나	0	0	0	0	0	0	0	0	1	0
그냥 지자	0	0	0	0	0	0	0	0	1	0
항복 마렵네	0	0	0	0	0	0	0	0	1	0
다음 판 가자	0	0	0	0	0	0	0	0	1	0
시간 아까워	0	0	0	0	0	0	0	0	1	0
이거 왜 안 나가	0	0	0	0	0	0	0	0	1	0
