text,label,keyword_found
아 진짜 아 정기 아 정기파리채를 사 정기파리채를 사 아 근데 이긴한데 부스에 없어요,1,아 진짜
그만하자!,1,그만하자
옆으로 가지잖아 일부러.,1,일부러
야 아니 오우씨 빨리 빌려 빨리 빌려 빨리 먹어와 누가 아 진짜 잡기는 아 진짜 조심하다 저거는 피지컬이거든,1,아 진짜
저도 아 안해 오케이 삼식이 방금 벽 타기 한 것 같은데 기분 탓이냐?,1,안해
나가.,1,나가
누나 미안해,1,안해
나 눈 감고 있으니까 말해줘 하나 둘 셋 아 진짜 아니야,1,아 진짜
이야 이거 굉장히 어후 씨 자 내려가 미안해 미안해,1,안해
이거 어떻게 나가?,1,나가
미안해 방패야.,1,안해
아 진짜 와 진짜 아니 게이지,1,아 진짜
야 미안해 공룡이 야 잠깐만 방망이 오케이 황씨야 쥐가 떨어지고 아 나다형 악기는 존재야 어디서 우리팀을 어디서 우리팀을 그냥 아 저 형 제일 잘하잖아,1,안해
"나, 나가지 않아!",1,나가
아우 답답해,1,답답해
아 진짜 면허 있는데 얼마나 운전을 잘하나 봐야지?,1,아 진짜
화면 밖으로 나가라!,1,나가
아 진짜 스트레스 받아,1,아 진짜
"야, 잠깐x3 이게 한 명을 여기 떨궈가지고 컨트롤을 해야 되네.",1,트롤
자 다시 다시 이 정도면 일부러 한 거 아니에요,1,일부러
어 한 명이 컨트롤 되겠네,1,트롤
미안해 방패야,1,안해
동족상잔 야 나 뭐하냐!,1,뭐하냐
아니 이거는 진짜 억가야 순서를 지켜 내가 먼저 지나가는 사람이었는데 인정?,1,나가
어 망했어?,1,망했
그리고 안해,1,안해
아 진짜 가능성이 보여 이거는 가능성이 보여 이거는 가능성이 그냥 보여,1,아 진짜
"제발 좀 침착해, 제발.",1,제발 좀
다시 하나 둘 셋 간다 들어가 빨리빨리빨리 으아아아아아 아 내가 파괴하지마 내 손을 잡아 미안해,1,안해
아 이 트롤들 진짜 혼자 하는 게임이네,1,트롤
둘이 동시에 움직여봐 뒤로야 먼저 가 눈치다운 눈치다운 눈치다운 눈치다운 눈치다운 아아아아아아아아아아아아아아아아 아아아아아아 미안해 오토가 느렸다,1,안해
야 마라 너 뭐하냐!,1,뭐하냐
아 진짜 너 왜 이래?,1,아 진짜
마음이 편안해졌어,1,안해
나 이제 그 다음이야 지나가면 갈게 우린 너무 밀면 안돼 보라야 가 비켜 비켜 보라야 가 그 다음 나 밀지마,1,나가
미안해요!,1,안해
나가면 돼 개꿀 빨았다 개꿀 빨았어,1,나가
너 피코파카 안해봤니?,1,안해
야 가가가가가 지나가 지나가 성부와 성재와 성재의 말!,1,나가
아 나이스 와 드디어 와 테트리스 한 번 더 있었으면 좋겠다 와 테트리스 진짜 맛있는데 와 여기서 여기서 뭐 어떻게 못 죽 나 테트리스 한 번 더 하고 싶은데 하하하하하 아 이 트롤들 아잉여 시원하긴 하네,1,트롤
안 나가지 않나?,1,나가
아 진짜...,1,아 진짜
"우리 딱 다섯 번만 해보고 안되면 그만하자, 어때?",1,그만하자
내가 점프를 못해 적당히 웃어줘 뚱땅 뚱땅 아 잠깐만 아 진짜 웃는소리 아 그만 웃어,1,아 진짜
아 진짜?,1,아 진짜
아냐 아냐 근데 옛날 맵보다 간격이 아아 진짜 하지마 ㅅㅂ,1,아 진짜
아아아아아 점프 비켜 비켜 오케이 자 먹어 먹어 개빨라 한번 더 빨라 한숨 자고 와도 돼,1,한숨
이거 뭐하냐?,1,뭐하냐
아 진짜 진짜 잘못..,1,아 진짜
"아, 미안해, 미안해.",1,안해
아 진짜 괴롭히네,1,아 진짜
어 미안해요,1,안해
"아 진짜 그래, 진짜 그래!",1,아 진짜
자 지나가면은 장난치지마,1,나가
어디서 화를 이 ㅅ끼가 빨리 나가 마이크 안되면 안돼,1,나가
망했다 지그시 좀 때리면 안 될까?,1,망했
미안해 미안해,1,안해
아 미안해요,1,안해
오 3C컷트를 봐 망했다,1,망했
미치겠네,1,미치겠네
나가!,1,나가
뗐 뗐 뗐 뗐 뗐 아 또 누가 엇나가네 뗐어 ...,1,나가
아 진짜 콩콩 걔...,1,아 진짜
하나가 자?,1,나가
쓸게 쓸게 모궁화꽃이 끼었습니다 씨발 이거 약간 무섭게 보여 캐릭터가 멀리 있으면 웃는 것 같아 뒤에 백현씨 백현씨 백 백 백 백 백 백 왜 왜 왜 하하하하하하하하 어휴 개운하다,1,어휴
그럼 이거 한 명이 컨트롤 가능한 거 아니야?,1,트롤
나와 나와 나오라고 도깨야 으아 진짜 아휴 운전을 이래서 면허 없는 것들은 하면 안 돼,1,아 진짜
빨리 왼쪽에서도 여기서 나가!,1,나가
잘쓰자 두줄로다가 두줄로다가 앞으로 붙어 앞으로 붙어 앞으로 앞으로 오 됐다 아 진짜 못해,1,아 진짜
아 진짜 나 너무 화가나,1,아 진짜
뭐냐 넌 또 어 미안해,1,안해
아 나 진짜 미치겠네.,1,미치겠네
일부러 그런거지,1,일부러
저거부터 야 니 카드가 몇 점인데 범위 하나가 없어,1,나가
나 그만하자 부상자 발생 부상자 발생 누가 아픈데 누구 아픈데 눈물이 너무나 지금 위로 가면 좋은데 지금 위로 가면 좋은데 조심해 위에 있어 밑에야 밑에야 다음 밑에 두 분은 열쇠가 뭐야?,1,그만하자
그럼 나 못 지나가는데?,1,나가
시작하기 전에 이거 정하고 갈게 우리 다음 라운드까지 하는데 만약에 진짜 고이트롤 한다 5천원씩 벌금 걷자 이거 이거 진짜로 어 저거 노란색 누구예요?,1,트롤
아 진짜 나 장은 짜증나,1,아 진짜
나만 아니면 엉그레이� Rover 형zekіс 망했어,1,망했
머리 지나가니까 못 가잖아.,1,나가
안해가냐,1,안해
그럼 내 머리에서 비켜 아니 후추 나와 정리해 정리해 계단 정리해 아 진짜 나 획기적인 트롤 생각났다,1,아 진짜
공룡아 비키라고 가가가가 점프점프점프 빨리 넘겨 빨리와 넘겨 비켜 비켜 비켜 아 공룡이 내 머리 계속 밟고 있는거 진짜 마음 급해 죽겠네 멍청해지게 만들려고 아 답답해.,1,답답해
아니 누나가 크기가 커서 그런지 더 잘 맞으면 노키야 올라와 깝치는 기상어 컷?,1,나가
형이 너 한다 형이 컨트롤 보여줄게 야야 이런거 필요없어,1,트롤
아 진짜 저는 인형입니다,1,아 진짜
"나가라, 나가라, 나가라.",1,나가
말을 왜 안해,1,안해
알았어 미안해 일로 와 일로 와.,1,안해
나 안해!x3 알았어,1,안해
미안해 이번 επ승의 목적 못 봤다 뭐라고 했지,1,안해
"이거 사람들 환장한다, 쟤는.",1,환장
와 저거 일부러 그랬다 어라라?,1,일부러
이 컨텐츠는 미안해가 더 야 미안해 미안해가 나온다니 오랜만에 듣는 거 같아 하나 둘 뭐야?,1,안해
자 레게노 아니 레게노씨 왜 점프 안해,1,안해
으아아아아아악 바보 저거 아 밖에 나가면 되는건가봐,1,나가
"나가, 나가 야아!!",1,나가
아 진짜 아니 진짜 못하는걸 뭐라고도 못하겠다,1,아 진짜
진짜 잘한다 하는데도 안해,1,안해
아 저쒸 아 저 아 진짜 아 아하하하하하 아 씨 야 이 가지가지한 한의회복 아 진짜 너무 무서워,1,아 진짜
아 진짜 딜빡딜하고 같이 게임 못하겠네,1,아 진짜
아 진짜 내가 뭘 버려!,1,아 진짜
이거 망했다,1,망했
자연상 말없네 에이 아 진짜 아 진짜 아 진짜 아 진짜 아니 이게 딱 ADM 왜이래,1,아 진짜
아아아아아아 진짜 코코아 아프지 아아아아아아아 아악 아아아아아아 와 진짜 다행이다,1,아 진짜
스토리얼도 안하고 와서 그래 다시 새로운 삶을 살자 이번 생은 망했어,1,망했
아니 오 야 잠깐만 닭한테 욕 좀 당했는데 이거 오 이거 아닌데 잠깐만 이거 이거 이거 나가야 되는데 이거 한번 나가야 되는데 꽃한테 싸대기 맞게 생겼네,1,나가
아 진짜로!,1,아 진짜
미안해 미안해 미안해 미안해.,1,안해
불안함으로 불안해도 우리 믿고 뛰었어,1,안해
실수로 누르지 마라 누나가 떨어트려줘요,1,나가
아이씨 야 빨리빨리 빨리 여기 올라가 올라가 오른쪽이 여기 한명 나가 올라가 한명 나가,1,나가
진짜 영원아 진짜 개 웃었다,1,아 진짜
지나가봐,1,나가
"야, 이거 하나가 남는 것 같아.",1,나가
아 진짜 무조건 가,1,아 진짜
일부러 일부러.,1,일부러
아 진짜 서로 양보 안 하는 거 봐.,1,아 진짜
피 얼마 안 남았어도 컨트롤을 통해서 충분히 할 수가 있어요 그런 다음에 탐색이 앞으로 뭘 꼴아봐 멈춰 뭘 멈춰 이 새끼야 여기가 지금 얼음이라서 미끄러지는구만 조심조심해야겠네,1,트롤
망했다,1,망했
잠깐만 왼쪽사람이 해줘야된다,0,왼쪽
자 가만히 있고 다 왼쪽으로 가야 돼요,0,왼쪽
이제 도망가라 땡겸이 날 빼고 아아 아 오케이 어 자자 어 으하 잠깐잠깐잠깐 다시다시 아잣 어 알았어,0,다시
이게 게임이 다주 가자,0,가자
자 멈춰 멈춰 멈춰 오케이 오케이 오케이 제가 그거 떨어뜨려 드릴게요,0,오케이
같이 올라가자 그래 그래 사이 좋게 오기 봐야죠 봐야죠,0,가자
다시 해봐.,0,다시
"금방 다시 돌아오거든,",0,다시
와 개나이스 진짜 완전 나이스 여기서 탑 된다,0,나이스
여기서도 이거 살짝 오른쪽 살짝 누르고 점프 그리고 멈춰야돼,0,오른쪽
누나 가자 가자.,0,가자
다시 들어와.,0,다시
오케이 나부터 아악!,0,오케이
네 훔치기가 아니고요 아 님들 이거 왼쪽으로 가는게 맞습니다,0,왼쪽
점프대를 여기다 설치하는 거야,0,점프
저 사람 야 이거 점프가 안돼 너무 멀어지면 자 나부터 오케이 내가 끝인 게 나아,0,점프
"오케이, 갔다 올게.",0,오케이
아 백수 오케이 그것까지 물어보지는 gw...,0,오케이
노랑아 점프해봐.,0,점프
해파리 해파리 오케이!,0,오케이
택하 가자.,0,가자
미안 오토가 아까부터 좀 급해 올라가고 저기서 가까이 가면 점프 디노 좀 움직여 시작 밟아 점프 오 밟아 와 천천히 천천히 꼭 계속 넘어가 나 출발한다,0,점프
가자.,0,가자
이거 왼쪽 하아 여기 있었네 자 오케이 다음 턴 가자,0,왼쪽
점프해주고.,0,점프
이거 같이 점프하는 건가 설마?,0,점프
X. 나이스!,0,나이스
요거 4단 점프 됐네,0,점프
만세 오른쪽 갑시다,0,오른쪽
여기다 그래 그래x10 가자 가자 일로와,0,가자
한 번 여기 뭐 있나 보자 오른쪽으로 와보자 레게노 씨 오른쪽으로 예 아아 여기 도와줘,0,오른쪽
아까 순서 아까 자기 1번 써 나 1번 점프 누르고 있을게,0,점프
"오케이, 오케이, 간다.",0,오케이
아니 위에가 떨어져 맨 위에부터 그냥 줄 정리해 오케이 오케이 됐어,0,오케이
오케이 오케이 이거 그..,0,오케이
"자, 바로 한 방에 가자.",0,가자
같이 가자.,0,가자
다시 해봐가 뭐 그냥 치트키야,0,다시
아 오케이 오케이 빨리 다시가 다시가 다시가 올라가 올라가 올라가 올라가 나 열쇠야,0,다시
뭐 아닌데 오빠 했다거나 헐 까봐 너무 더 가봐 아주 왼쪽이 왼쪽 아름다워,0,왼쪽
어 나와 비켜 비켜 비켜 오케이 오케이 아싸 열쇠득 아싸 어 뺏겼다 뺏겼어,0,오케이
그 노란색 판에서 한 반정도 갔을때 점프 해야 될거 같거든 오케이 거의 바로 뛰어야돼,0,점프
오른쪽으로 빼고 가자.,0,오른쪽
나이스 나이스!,0,나이스
어 나이스.,0,나이스
나이스 나이스 연호 뒤로 차면 안돼 윤호 뒤로 차면 안돼 윤호 좋았다 개판입니다,0,나이스
오케이 나이스 아니 미친 거 아니야,0,나이스
음 저는 선장이 이번 여행을 성공하지 못하고 왔습니다,0,성공
아니 아니 점프하면서 내려가야 된다,0,점프
오케이 좋아요,0,오케이
왼쪽 한 번만!,0,왼쪽
이렇게 설치해서 점프 딱 하고 올라가는 거야,0,점프
가자 가자,0,가자
여기서 해 여기서 점프하지마 꽉 채워 일단 점프를 하지 말래니까,0,점프
아이고 집중 나이스 하필 내가 고주였을지도 모르겠네,0,나이스
오케이 오케이 오케이 오케이 가가가가 오케오케오케 간장간장 간장!,0,오케이
세게 세게 굴러가 세게 아차아 보소 나이스 줄였고?,0,나이스
어 나이스 양띵과 팀대의 확률 업!,0,나이스
"잠깐만, 기다려봐.",0,기다려
오케이 렛츠기릿.,0,오케이
오케이 누구야 말미자 같이 생긴 애 있다 가자 오 좋아,0,가자
"나이스, 나이스, 나이스.",0,나이스
오케이 오케이 여기 내 집.,0,오케이
하나 둘 셋 하면 앞에부터 누르고 점프 하나 둘 셋 시간 눌러 시간 눌러 와,0,점프
이 양반 나 지금 지금 쉬하려다가 바지 살짝 내렸다가 올리고 다시 왔어.,0,다시
그거 왼쪽 위에 도와줘,0,왼쪽
저기요 콘콩이 왕자 근데 너가 점프했어,0,점프
어 이거 다시 해야 돼,0,다시
네 오케이 그거는 현황으로 다음 2부로 갈게요,0,오케이
로켓트 먹었지만 다 죽었습니다.,0,죽었
"그렇지말라고 이거다 가자 아니, 가돈이가 개웃기네",0,가자
의리오 나이스!,0,나이스
실패했네.,0,실패
오케이 오케이 일로 밀어줘 일로 밀어줘 오케이 오케이 쏙 시작 오케이 오케이 렛츠 고 기미 무스타 야,0,오케이
"오케이, 오케이, 오케이, 오케이, 오케이, 오케이.",0,오케이
방금 개잘했어?,0,잘했어
나도 막았는데 오케이 고고 오케이 안전하게 안전하게 오케이 피해주고 아이고아이고 야 이거 어렵다,0,오케이
나도 점프로 갈게,0,점프
그냥 우르르 다 내려가 하나 둘 셋 가자!,0,가자
오 나이스 넘겨 그냥 넘겨 넘겨 넘겨 헤딩 아니 연호 나와,0,나이스
점프 요시!,0,점프
새로운 삶 로프타는거 연습좀 하고 오케이 로프타고 여기 올라올 수 있는 사람들만 데리고 간다,0,오케이
했어 했어 했다 쳐 오케이 오케이 11분이잖아,0,오케이
출발 출발 버전 밑에 버전 밑에 출발 가자 가자 마지막 도전 마지막 도전 아 왜 왜 그래,0,가자
오른쪽으로 버튼만 누르면 되는데 그걸 가지를 못해서 양만들어 제발 암마자!,0,오른쪽
이거 오른쪽 위에 있는 것부터 바로 눌러야 돼,0,오른쪽
오른쪽 오른쪽 오른쪽으로 보내야 돼,0,오른쪽
오케이 오케이!,0,오케이
뒤로 땡겨 오 나이스 뭐야,0,나이스
이거 다시 해야 돼,0,다시
그러니까 한 명 한 명 한 명 이렇게 점프를 하면 4단 점프가 되는 거야,0,점프
누가 죽었죠?,0,죽었
이제 왼쪽 봐,0,왼쪽
"가자, 가.",0,가자
너 골키퍼 해 나이스 나이스 언니 골 나이스 연호순 골 우리팀이었어,0,나이스
점프 이 새끼야 점프 아이고 형님 아이고 형님 역시 멋지십니다,0,점프
아버 인데 자유자 온다 다시 취소 취소 이제 다 아 그 다 아 으 우유 기어른 내게 우리 친해진 것 같다,0,다시
왜 점프를 해,0,점프
비껴 비껴 비껴 앞에 있는 애들 3명이다 오케이 빨간가 빨간가 주황이 가,0,오케이
점프하세요,0,점프
자 여기서 보면 우리 아까 리즈마님 계속 떨어졌던 거 기억나죠?,0,떨어졌
오른쪽 봐봐 으악 얘가 당겨 오나보다,0,오른쪽
누구 강퇴할지 자 가자 통 통 통 통 통 비켜주고 그렇지,0,가자
나이스 강아지!,0,나이스
한 1초정도 누른다 보자 1초 오케이 하나 둘 셋 야 다 했다 다 했다 다 한거야,0,오케이
자 넘어와 자 오른쪽 오른쪽 자 이거 뒤돌 사람을 한 명만 정하자,0,오른쪽
하지마 하지마 오케이.,0,오케이
아 나이스 나이스 넉넉해 넉넉해 가자 다시 다시 도와야 돼,0,다시
아니 점프가 안되잖아,0,점프
오케이 오지?,0,오케이
방패 군대 오케이 쟤 앞에 이제 갈게요,0,오케이
다시 굴려?,0,다시
아우니부터 가 다시 올라와 다시 올라와 다시 올라와 천천히 그렇지,0,다시
이거 머리 무턱이 왼쪽도 그렇고 오 됐다,0,왼쪽
"아니, 이거 왜 이러면 점프!",0,점프
아니야 가보자 할게 게이지 가 게이지 가 어 나이트 오케이 좋아,0,오케이
내려가면 내려가면 가자,0,가자
"아 오케이 어 오케이 오케이 어 오케이 오케이 오케이 말 걸어서 그냥 어 내가 좀 가까이 가서 지금 충분해, 충분해, 충분해.",0,오케이
